!,,,,,,,,,,,,+++,,,,,,+++,+++,+++,,,,,
@@,person_id,family_name,first_name,name_lang,sex,rustication,birthyear,deathyear,alt_name,place_of_birth,social_position,narrative_age,neibu_access,source_1,page_1,source_2,page_2,fictionality,narrative_status,commentary,note,created,created_by,last_modified,last_modified_by
+++,P1218,孙,子,zh,male,NULL,-0544,-0496,NULL,PL0999,,,,https://en.wikipedia.org/wiki/Sun_Tzu,ONLINE SOURCE,,,,,,,2021-07-09,MG,2021-07-09,MG
+++,P1219,Wood Krutch,Joseph,en,male,NULL,1893,1970,NULL,PL0676,,,,https://en.wikipedia.org/wiki/Joseph_Wood_Krutch,ONLINE SOURCE,,,,,,,2021-07-09,MG,2021-07-09,MG
+++,P1219,伍德 克鲁奇,约瑟夫,zh,male,NULL,1893,1970,NULL,PL0676,,,,https://en.wikipedia.org/wiki/Joseph_Wood_Krutch,ONLINE SOURCE,,,,,,,2021-07-09,MG,2021-07-09,MG
+++,P1220,Qi,Baishi,en,male,NULL,1864,1957,NULL,PL0512,,,,https://en.wikipedia.org/wiki/Qi_Baishi,ONLINE SOURCE,,,,,,,2021-07-09,MG,2021-07-09,MG
+++,P1220,齐,白石,zh,male,NULL,1864,1957,NULL,PL0512,,,,https://en.wikipedia.org/wiki/Qi_Baishi,ONLINE SOURCE,,,,,,,2021-07-09,MG,2021-07-09,MG
+++,P1221,Xu,Beihong,en,male,NULL,1895,1953,Ju Peón,PL0677,,,,https://en.wikipedia.org/wiki/Xu_Beihong,ONLINE SOURCE,,,,,,,2021-07-09,MG,2021-07-09,MG
+++,P1221,徐,悲鸿,zh,male,NULL,1895,1953,NULL,PL0677,,,,https://en.wikipedia.org/wiki/Xu_Beihong,ONLINE SOURCE,,,,,,,2021-07-09,MG,2021-07-09,MG
+++,P1222,Huang,Zhou,en,male,no,1925,1997,Liang Gantang,PL0562,,,,https://www.chinesenewart.com/chinese-artists15/huangzhou.htm,ONLINE SOURCE,,,,,,,2021-07-09,MG,2021-07-09,MG
+++,P1222,黄,胄,zh,male,no,1925,1997,NULL,PL0562,,,,https://www.chinesenewart.com/chinese-artists15/huangzhou.htm,ONLINE SOURCE,,,,,,,2021-07-09,MG,2021-07-09,MG
+++,P1223,Li,Keran,en,male,no,1907,1989,Li Yongshun,PL0654,,,,https://en.wikipedia.org/wiki/Li_Keran,ONLINE SOURCE,,,,,,,2021-07-09,MG,2021-07-09,MG
+++,P1223,李,可染,zh,male,no,1907,1989,李永顺,PL0654,,,,https://en.wikipedia.org/wiki/Li_Keran,ONLINE SOURCE,,,,,,,2021-07-09,MG,2021-07-09,MG
+++,P1224,Miller,Richard E.,en,male,NULL,1875,1943,NULL,PL0143,,,,https://en.wikipedia.org/wiki/Richard_E._Miller,ONLINE SOURCE,,,,,,,2021-07-09,MG,2021-07-23,MG
+++,P1224,米勒,理查德 爱德华,zh,male,NULL,1875,1943,NULL,PL0143,,,,https://en.wikipedia.org/wiki/Richard_E._Miller,ONLINE SOURCE,,,,,,,2021-07-09,MG,2021-07-23,MG
+++,P1225,anon,anon,en,male,NULL,,,NULL,PL0999,,,,SS00615,,,,F,,,,2021-07-09,MG,2021-07-09,MG
+++,P1226,anon,anon,en,male,NULL,,,NULL,PL0999,,,,SS00615,,,,F,N06,,,2021-07-09,MG,2021-07-09,MG
+++,P1227,Shu,Ning,en,unknown,NULL,,,NULL,PL0999,,,,SS00617,,,,F,N07,,,2021-07-09,MG,2021-07-09,MG
+++,P1228,anon,Max Jr.,en,male,NULL,,,NULL,PL0999,,,,SS00619,,,,F,N07,,,2021-07-09,MG,2021-07-09,MG
+++,P1229,anon,anon,en,unknown,NULL,,,NULL,PL0999,,,,SS00619,,,,F,,,,2021-07-09,MG,2021-07-09,MG
+++,P1230,anon,Anna Belle,en,female,NULL,,,NULL,PL0999,,,,SS00619,,,,F,N07,,,2021-07-09,MG,2021-07-09,MG
+++,P1231,Rorvik,David,en,male,NULL,1944,,NULL,PL0678,,,,https://en.wikipedia.org/wiki/David_Rorvik,ONLINE SOURCE,,,,,,,2021-07-09,MG,2021-07-09,MG
+++,P1231,罗维克,大卫,zh,male,NULL,1944,,NULL,PL0678,,,,https://en.wikipedia.org/wiki/David_Rorvik,ONLINE SOURCE,,,,,,,2021-07-09,MG,2021-07-09,MG
+++,P1232,Bulychev,Kir,en,male,NULL,1934,2003,NULL,PL0027,,,,https://en.wikipedia.org/wiki/Kir_Bulychev,ONLINE SOURCE,,,,,,,2021-07-09,MG,2021-07-10,MG
+++,P1232,布雷切夫,基尔,zh,male,NULL,1934,2003,NULL,PL0027,,,,https://en.wikipedia.org/wiki/Kir_Bulychev,ONLINE SOURCE,,,,,,,2021-07-09,MG,2021-07-10,MG
+++,P1233,anon,anon,en,unknown,NULL,,,NULL,PL0999,,,,SS00624,,,,F,,,,2021-07-09,MG,2021-07-09,MG
+++,P1234,anon,anon,en,male,NULL,,,NULL,PL0999,,,,SS00621,,,,F,N06,first person narrator,,2021-07-10,MG,2021-07-10,MG
+++,P1235,anon,Matthew,en,male,NULL,,,NULL,PL0999,,,,SS00621,,,,F,N07,,,2021-07-10,MG,2021-07-10,MG
+++,P1236,of Syracuse,Archimedes,en,male,NULL,-0287,-0212,NULL,PL0680,,,,https://en.wikipedia.org/wiki/Archimedes,ONLINE SOURCE,,,,,,,2021-07-10,MG,2021-07-10,MG
+++,P1236,anon,阿基米德,zh,male,NULL,-0287,-0212,NULL,PL0680,,,,https://en.wikipedia.org/wiki/Archimedes,ONLINE SOURCE,,,,,,,2021-07-10,MG,2021-07-11,MG
+++,P1237,Roth,Joseph,en,male,NULL,1894,1939,NULL,PL0687,,,,https://en.wikipedia.org/wiki/Joseph_Roth,ONLINE SOURCE,,,,,,,2021-07-10,MG,2021-07-11,MG
+++,P1237,罗特,约瑟夫,zh,male,NULL,1894,1939,NULL,PL0687,,,,https://en.wikipedia.org/wiki/Joseph_Roth,ONLINE SOURCE,,,,,,,2021-07-10,MG,2021-07-11,MG
+++,P1238,anon,anon,en,male,NULL,1970..1980~,,NULL,PL0999,,,,SS00627,,,,F,,first person narrator,,2021-07-10,MG,2021-07-11,MG
+++,P1239,anon,architect,en,male,NULL,1970..1980~,,NULL,PL0999,,,,SS00627,,,,F,N07,,,2021-07-10,MG,2021-07-10,MG
+++,P1240,Andreu,Paul,fr,male,NULL,1938,2018,NULL,PL0681,,,,https://en.wikipedia.org/wiki/Paul_Andreu,ONLINE SOURCE,,,,,,,2021-07-10,MG,2021-07-10,MG
+++,P1240,安德鲁,保罗,zh,male,NULL,1938,2018,NULL,PL0681,,,,https://en.wikipedia.org/wiki/Paul_Andreu,ONLINE SOURCE,,,,,,,2021-07-10,MG,2021-07-10,MG
+++,P1241,Ai,Wei Wei,en,male,NULL,1957,,NULL,PL0002,,,,https://en.wikipedia.org/wiki/Ai_Weiwei,ONLINE SOURCE,,,,,,,2021-07-10,MG,2021-07-11,MG
+++,P1241,艾,未未,zh,male,NULL,1957,,NULL,PL0002,,,,https://en.wikipedia.org/wiki/Ai_Weiwei,ONLINE SOURCE,,,,,,,2021-07-10,MG,2021-07-11,MG
+++,P1242,anon,anon,en,male,NULL,'-0900~,,NULL,PL0999,,,,SS00623,,,,F,N07,,,2021-07-11,MG,2021-07-11,MG
+++,P1243,anon,god,en,male,NULL,,,Li Bai,PL0999,,,,SS00629,,,,F,N07,,,2021-07-11,MG,2021-07-11,MG
+++,P1244,anon,Yiyi,en,unknown,NULL,,,NULL,PL0999,,,,SS00629,,,,F,N07,,,2021-07-11,MG,2021-07-11,MG
+++,P1245,anon,Big Tooth,en,unknown,NULL,,,NULL,PL0999,,,,SS00629,,,,F,N07,a dinosaur,,2021-07-11,MG,2021-07-11,MG
+++,P1246,Li,Bai,en,male,NULL,0701,0762,Li Bo,PL0684,,,,https://en.wikipedia.org/wiki/Li_Bai,ONLINE SOURCE,,,,,,,2021-07-11,MG,2021-07-11,MG
+++,P1246,李,白,zh,male,NULL,0701,0762,NULL,PL0684,,,,https://en.wikipedia.org/wiki/Li_Bai,ONLINE SOURCE,,,,,,,2021-07-11,MG,2021-07-11,MG
+++,P1247,Liu,Zhongyuan,en,male,NULL,0773,0819,Zihou,PL0685,,,,https://en.wikipedia.org/wiki/Liu_Zongyuan,ONLINE SOURCE,,,,,,,2021-07-11,MG,2021-07-11,MG
+++,P1247,柳,宗元,zh,male,NULL,0773,0819,子厚,PL0685,,,,https://en.wikipedia.org/wiki/Liu_Zongyuan,ONLINE SOURCE,,,,,,,2021-07-11,MG,2021-07-11,MG
+++,P1248,Cui,Hao,en,male,NULL,0704,0754,NULL,PL0607,,,,https://en.wikipedia.org/wiki/Cui_Hao_(poet),ONLINE SOURCE,,,,,,,2021-07-11,MG,2021-07-11,MG
+++,P1248,崔,颢,zh,male,NULL,0704,0754,NULL,PL0607,,,,https://en.wikipedia.org/wiki/Cui_Hao_(poet),ONLINE SOURCE,,,,,,,2021-07-11,MG,2021-07-11,MG
+++,P1249,Meng,Haoran,en,male,NULL,0689,0740,NULL,PL0686,,,,https://en.wikipedia.org/wiki/Meng_Haoran,ONLINE SOURCE,,,,,,,2021-07-11,MG,2021-07-11,MG
+++,P1249,孟,浩然,zh,male,NULL,0689,0740,NULL,PL0686,,,,https://en.wikipedia.org/wiki/Meng_Haoran,ONLINE SOURCE,,,,,,,2021-07-11,MG,2021-07-11,MG
+++,P1250,Wang,Zhihuan,en,male,NULL,0688,0742,NULL,PL0014,,,,https://en.wikipedia.org/wiki/Wang_Zhihuan,ONLINE SOURCE,,,,,,,2021-07-11,MG,2021-07-11,MG
+++,P1250,王,之涣,zh,male,NULL,0688,0742,NULL,PL0014,,,,https://en.wikipedia.org/wiki/Wang_Zhihuan,ONLINE SOURCE,,,,,,,2021-07-11,MG,2021-07-11,MG
+++,P1251,anon,anon,en,male,NULL,,,NULL,PL0999,,,,SS00631,,,,F,N06,first person narrator,,2021-07-14,MG,2021-07-14,MG
+++,P1252,Smith,Adam,en,male,NULL,1723,1790,NULL,PL0688,,,,https://en.wikipedia.org/wiki/Adam_Smith,ONLINE SOURCE,,,,,,,2021-07-14,MG,2021-07-14,MG
+++,P1252,斯密,亚当,zh,male,NULL,1723,1790,NULL,PL0688,,,,https://en.wikipedia.org/wiki/Adam_Smith,ONLINE SOURCE,,,,,,,2021-07-14,MG,2021-07-14,MG
+++,P1253,Todorov,Emanuel,en,male,NULL,1971,,NULL,PL0999,,,,https://en.wikipedia.org/wiki/Emanuel_Todorov,ONLINE SOURCE,,,,,,,2021-07-14,MG,2021-07-14,MG
+++,P1253,托多罗夫,,zh,male,NULL,1971,,NULL,PL0999,,,,https://en.wikipedia.org/wiki/Emanuel_Todorov,ONLINE SOURCE,,,,,,,2021-07-14,MG,2021-07-14,MG
+++,P1254,anon,anon,en,unknown,NULL,,,NULL,PL0999,,,,SS00630,ONLINE SOURCE,,,F,,,,2021-07-14,MG,2021-07-14,MG
+++,P1255,Maxwell,James Clerk,en,male,NULL,1831,1879,NULL,PL0121,,,,https://en.wikipedia.org/wiki/James_Clerk_Maxwell,ONLINE SOURCE,,,,,,,2021-07-14,MG,2021-07-14,MG
+++,P1255,麦克斯韦,詹姆斯 克拉克,zh,male,NULL,1831,1879,NULL,PL0121,,,,https://en.wikipedia.org/wiki/James_Clerk_Maxwell,ONLINE SOURCE,,,,,,,2021-07-14,MG,2021-07-14,MG
+++,P1256,Faraday,Michael,en,male,NULL,1791,1867,NULL,PL0691,,,,https://en.wikipedia.org/wiki/Michael_Faraday,ONLINE SOURCE,,,,,,,2021-07-14,MG,2021-07-14,MG
+++,P1256,法拉第,米高,zh,male,NULL,1791,1867,NULL,PL0691,,,,https://en.wikipedia.org/wiki/Michael_Faraday,ONLINE SOURCE,,,,,,,2021-07-14,MG,2021-07-14,MG
+++,P1257,Galilei,Galileo,en,male,NULL,1564,1642,NULL,PL0690,,,,https://en.wikipedia.org/wiki/Galileo_Galilei,ONLINE SOURCE,,,,,,,2021-07-14,MG,2021-07-14,MG
+++,P1257,伽利莱,伽利略,zh,male,NULL,1564,1642,NULL,PL0690,,,,https://en.wikipedia.org/wiki/Galileo_Galilei,ONLINE SOURCE,,,,,,,2021-07-14,MG,2021-07-14,MG
+++,P1258,Copernicus,Nicolaus,en,male,NULL,1473,1543,NULL,PL0689,,,,https://en.wikipedia.org/wiki/Nicolaus_Copernicus,ONLINE SOURCE,,,,,,,2021-07-14,MG,2021-07-14,MG
+++,P1258,哥白尼,尼古拉,zh,male,NULL,1473,1543,NULL,PL0689,,,,https://en.wikipedia.org/wiki/Nicolaus_Copernicus,ONLINE SOURCE,,,,,,,2021-07-14,MG,2021-07-14,MG
+++,P1259,Schrödinger,Erwin,en,male,NULL,1887,1961,NULL,PL0167,,,,https://en.wikipedia.org/wiki/Erwin_Schr%C3%B6dinger,ONLINE SOURCE,,,,,,,2021-07-14,MG,2021-07-14,MG
+++,P1259,薛定谔,埃尔温,zh,male,NULL,1887,1961,NULL,PL0167,,,,https://en.wikipedia.org/wiki/Erwin_Schr%C3%B6dinger,ONLINE SOURCE,,,,,,,2021-07-14,MG,2021-07-14,MG
+++,P1260,Pauli,Wolfgang,en,male,NULL,1900,1958,NULL,PL0167,,,,https://en.wikipedia.org/wiki/Wolfgang_Pauli,ONLINE SOURCE,,,,,,,2021-07-14,MG,2021-07-14,MG
+++,P1260,泡利,沃尔夫冈,zh,male,NULL,1900,1958,NULL,PL0167,,,,https://en.wikipedia.org/wiki/Wolfgang_Pauli,ONLINE SOURCE,,,,,,,2021-07-14,MG,2021-07-14,MG
+++,P1261,anon,anon,en,male,NULL,,,NULL,PL0999,,,,SS00632,,,,F,N06,first person narrator,,2021-07-19,MG,2021-07-19,MG
+++,P1262,Mendel,Gregor,en,male,NULL,1822,1884,NULL,PL0692,,,,https://en.wikipedia.org/wiki/Gregor_Mendel,ONLINE SOURCE,,,,,,,2021-07-19,MG,2021-07-19,MG
+++,P1262,孟德爾,格雷戈爾,zh,male,NULL,1822,1884,NULL,PL0692,,,,https://en.wikipedia.org/wiki/Gregor_Mendel,ONLINE SOURCE,,,,,,,2021-07-19,MG,2021-07-19,MG
+++,P1263,anon,Pea,en,unknown,NULL,,,NULL,PL0999,,,,SS00632,,,,F,,,,2021-07-19,MG,2021-07-19,MG
+++,P1264,Qu,Yuan,en,male,NULL,-0340,-0278,NULL,PL0415,,,,https://en.wikipedia.org/wiki/Qu_Yuan,ONLINE SOURCE,,,,,,,2021-07-19,MG,2021-07-19,MG
+++,P1264,屈,原,zh,male,NULL,-0340,-0278,NULL,PL0415,,,,https://en.wikipedia.org/wiki/Qu_Yuan,ONLINE SOURCE,,,,,,,2021-07-19,MG,2021-07-19,MG
+++,P1265,anon,anon,en,unknown,NULL,,,NULL,PL0999,,,,SS00638,,,,F,,,,2021-07-19,MG,2021-07-19,MG
+++,P1266,Chan,Stanley,en,male,NULL,,,NULL,PL0999,,,,SS00646,,,,F,N06,first person narrator,,2021-07-20,MG,2021-07-20,MG
+++,P1267,Gutenberg,Johannes,en,male,NULL,1400,1468,NULL,PL0693,,,,https://en.wikipedia.org/wiki/Johannes_Gutenberg,ONLINE SOURCE,,,,,,,2021-07-20,MG,2021-07-20,MG
+++,P1267,谷登堡,约翰内斯,zh,male,NULL,1400,1468,NULL,PL0693,,,,https://en.wikipedia.org/wiki/Johannes_Gutenberg,ONLINE SOURCE,,,,,,,2021-07-20,MG,2021-07-20,MG
+++,P1268,He,Yan,en,male,NULL,0195,0249,NULL,PL0647,,,,https://en.wikipedia.org/wiki/He_Yan,ONLINE SOURCE,,,,,,,2021-07-20,MG,2021-07-20,MG
+++,P1268,何,晏,zh,male,NULL,0195,0249,NULL,PL0647,,,,https://en.wikipedia.org/wiki/He_Yan,ONLINE SOURCE,,,,,,,2021-07-20,MG,2021-07-20,MG
+++,P1269,Wilhelm,Richard,en,male,NULL,1873,1930,NULL,PL0170,,,,https://en.wikipedia.org/wiki/Richard_Wilhelm_(sinologist),ONLINE SOURCE,,,,,,,2021-07-20,MG,2021-07-20,MG
+++,P1269,威廉,理查德,zh,male,NULL,1873,1930,卫礼贤,PL0170,,,,https://en.wikipedia.org/wiki/Richard_Wilhelm_(sinologist),ONLINE SOURCE,,,,,,,2021-07-20,MG,2021-07-20,MG
+++,P1270,Jung,Carl,en,male,NULL,1875,1961,NULL,PL0694,,,,https://en.wikipedia.org/wiki/Carl_Jung,ONLINE SOURCE,,,,,,,2021-07-20,MG,2021-07-20,MG
+++,P1270,荣格,卡尔,zh,male,NULL,1875,1961,NULL,PL0694,,,,https://en.wikipedia.org/wiki/Carl_Jung,ONLINE SOURCE,,,,,,,2021-07-20,MG,2021-07-20,MG
+++,P1271,Ramis,Harold,en,male,NULL,1944,2014,NULL,PL0312,,,,https://en.wikipedia.org/wiki/Harold_Ramis,ONLINE SOURCE,,,,,,,2021-07-20,MG,2021-07-20,MG
+++,P1271,雷米斯,哈罗德,zh,male,NULL,1944,2014,NULL,PL0312,,,,https://en.wikipedia.org/wiki/Harold_Ramis,ONLINE SOURCE,,,,,,,2021-07-20,MG,2021-07-20,MG
+++,P1272,Motoo,Abiko,en,male,NULL,1934,,Fujiko A. Fujio,PL0696,,,,https://en.wikipedia.org/wiki/Fujiko_Fujio,ONLINE SOURCE,,,,,,,2021-07-20,MG,2021-07-20,MG
+++,P1272,素雄,安孫子,zh,male,NULL,1934,,藤子不二雄Ⓐ,PL0696,,,,https://en.wikipedia.org/wiki/Fujiko_Fujio,ONLINE SOURCE,,,,,,,2021-07-20,MG,2021-07-20,MG
+++,P1273,Hiroshi,Fujimoto,en,male,NULL,1933,1996,Fujiko F. Fujio,PL0695,,,,https://en.wikipedia.org/wiki/Fujiko_Fujio,ONLINE SOURCE,,,,,,,2021-07-20,MG,2021-07-20,MG
+++,P1273,藤本,弘,zh,male,NULL,1933,1996,藤子 F 不二雄,PL0695,,,,https://en.wikipedia.org/wiki/Fujiko_Fujio,ONLINE SOURCE,,,,,,,2021-07-20,MG,2021-07-20,MG
+++,P1274,Kubrick,Stanley,en,male,NULL,1928,1999,NULL,PL0050,,,,https://en.wikipedia.org/wiki/Stanley_Kubrick,ONLINE SOURCE,,,,,,,2021-07-21,MG,2021-07-21,MG
+++,P1274,库布里克,斯坦利,zh,male,NULL,1928,1999,NULL,PL0050,,,,https://en.wikipedia.org/wiki/Stanley_Kubrick,ONLINE SOURCE,,,,,,,2021-07-21,MG,2021-07-21,MG
+++,P1275,Barrie,James Matthew,en,male,NULL,1860,1937,NULL,PL0697,,,,https://en.wikipedia.org/wiki/J._M._Barrie,ONLINE SOURCE,,,,,,,2021-07-21,MG,2021-07-21,MG
+++,P1275,巴利,詹姆斯 马修,zh,male,NULL,1860,1937,NULL,PL0697,,,,https://en.wikipedia.org/wiki/J._M._Barrie,ONLINE SOURCE,,,,,,,2021-07-21,MG,2021-07-21,MG
+++,P1276,Qin,Shihong,en,unknown,NULL,,,NULL,PL0999,,,,http://none,,,,,,,,2021-07-21,MG,2021-07-21,MG
+++,P1277,anon,Nikuulla,en,male,NULL,,,NULL,PL0999,,,,SS00640,,,,F,N06,,,2021-07-21,MG,2021-07-21,MG
+++,P1278,Jay,Peter,en,male,NULL,1937,,NULL,PL0036,,,,https://en.wikipedia.org/wiki/Peter_Jay_(diplomat),ONLINE SOURCE,,,,,,,2021-07-25,MG,2021-07-25,MG
+++,P1278,杰伊,彼得,zh,male,NULL,1937,,NULL,PL0036,,,,https://en.wikipedia.org/wiki/Peter_Jay_(diplomat),ONLINE SOURCE,,,,,,,2021-07-25,MG,2021-07-25,MG
